latent_dim,lr,n_blocks,beta,best_alpha,auc_comb,auc_xgb
8,0.001,2,linear,1,0.5351391318461345,0.9982756638903507
8,0.001,2,cyclic,1,0.5910124672816058,0.9947291712093069
8,0.001,3,linear,1,0.5759341808556431,0.9978841998823604
8,0.001,3,cyclic,1,0.6399390926450853,0.9993298296484894
8,0.0001,2,linear,1,0.5521853947310656,0.9982794892715363
8,0.0001,2,cyclic,1,0.5540445299872542,0.997894765220873
8,0.0001,3,linear,1,0.5597936225066484,0.9973983764717926
8,0.0001,3,cyclic,1,0.5575377405732134,0.9979097024235974
16,0.001,2,linear,1,0.548021376230065,0.9998690262346464
16,0.001,2,cyclic,1,0.6174323713592618,0.9996619091675989
16,0.001,3,linear,1,0.6474938561645744,0.9995387683256252
16,0.001,3,cyclic,1,0.6279373234973675,0.999743335138549
16,0.0001,2,linear,1,0.573665456571085,0.9999679396624447
16,0.0001,2,cyclic,1,0.5841464545365286,0.999969761272533
16,0.0001,3,linear,1,0.5809426067131068,0.9999759547468335
16,0.0001,3,cyclic,1,0.5971859949515899,0.9999156594529085
32,0.001,2,linear,1,0.5999962839154197,1.0
32,0.001,2,cyclic,1,0.6006501508566394,0.9999843341532401
32,0.001,3,linear,1,0.6055957311660545,0.9999998178389912
32,0.001,3,cyclic,1,0.6656357264371546,1.0
32,0.0001,2,linear,1,0.6162210006504969,1.0
32,0.0001,2,cyclic,1,0.6367357002241856,1.0
32,0.0001,3,linear,1,0.6160606078822162,1.0
32,0.0001,3,cyclic,1,0.6422008037308031,0.9999983605509205
